Block,Train,WiC_mean,WiC_max_deviation,WiC_min_deviation,WSD_mean,WSD_max_deviation,WSD_min_deviation
Pil-WiC,P + F200K,0.714,0.006,0.004,0.665,0.005,0.003
Pil-WiC,P + F5K,0.695,0.014,0.008,0.552,0.026,0.02
Pil-WiC,P,0.681,0.008,0.005,0.475,0.004,0.004
Pil-WiC,F200K,0.693,0.006,0.007,0.67,0.01,0.006
Pil-WiC,F5K,0.675,0.009,0.012,0.539,0.005,0.009
Pil-WiC,Untrained,0.529,0.0,0.0,0.309,0.0,0.0
Pil-WiC,Random,0.492,0.01,0.005,0.262,0.01,0.009
Pil-WiC,C + F200K,0.711,0.019,0.011,0.66,0.003,0.002
Pil-WiC,C + F15K,0.721,0.01,0.013,0.617,0.003,0.002
Pil-WiC,F15K,0.688,0.01,0.013,0.604,0.01,0.011
Pil-WiC,C,0.703,0.016,0.015,0.503,0.024,0.033
MCL-WiC,M + F200K,0.891,0.009,0.013,0.663,0.004,0.007
MCL-WiC,M + F8K,0.89,0.005,0.01,0.575,0.004,0.003
MCL-WiC,M,0.889,0.003,0.005,0.477,0.007,0.01
MCL-WiC,F200K,0.86,0.002,0.002,0.67,0.01,0.006
MCL-WiC,F8K,0.829,0.03,0.02,0.527,0.011,0.006
MCL-WiC,Untrained,0.653,0.0,0.0,0.309,0.0,0.0
MCL-WiC,Random,0.479,0.011,0.02,0.262,0.01,0.009
MCL-WiC,C + F200K,0.885,0.001,0.003,0.66,0.003,0.002
MCL-WiC,C + F15K,0.894,0.004,0.005,0.617,0.003,0.002
MCL-WiC,F15K,0.855,0.012,0.019,0.604,0.01,0.011
MCL-WiC,C,0.906,0.011,0.007,0.503,0.024,0.033
XL-Lexeme,X + F200K,0.782,0.002,0.003,0.669,0.011,0.013
XL-Lexeme,X + F13K,0.792,0.003,0.004,0.609,0.007,0.005
XL-Lexeme,X,0.79,0.005,0.006,0.472,0.004,0.004
XL-Lexeme,F200K,0.754,0.006,0.004,0.67,0.01,0.006
XL-Lexeme,F13K,0.759,0.003,0.003,0.605,0.01,0.015
XL-Lexeme,Untrained,0.585,0.0,0.0,0.309,0.0,0.0
XL-Lexeme,Random,0.508,0.01,0.014,0.262,0.01,0.009
XL-Lexeme,C + F200K,0.781,0.012,0.007,0.66,0.003,0.002
XL-Lexeme,C + F15K,0.791,0.008,0.007,0.617,0.003,0.002
XL-Lexeme,F15K,0.758,0.008,0.014,0.604,0.01,0.011
XL-Lexeme,C,0.786,0.008,0.007,0.503,0.024,0.033